Cycle,Time,Traditional Scenario,Num Autonomous Bikes,Autonomous Bikes Battery Life,AB PickUp Speed,Num Cars,Agent,Trip Served,Mode,Wait Time (min),Departure Time,Arrival Time,Duration (min),Origin [lat],Origin [lon],Destination [lat],Destination [lon],Distance (m)
191,2022-10-01 00:31:50,true,110,50000.0,3.0555555555555554,40,package0,true,2,2.0,00:23:10,00:31:50,8.666666666666666,-71.086885,42.37212699999988,-71.12392810591183,42.388292994269825,3618.90422837766
374,2022-10-01 01:02:20,true,110,50000.0,3.0555555555555554,40,package3990,true,2,1.5,01:00:40,01:02:20,1.6666666666666667,-71.11851899999998,42.37028199999989,-71.11994,42.37206899999988,334.30309742246055
398,2022-10-01 01:06:20,true,110,50000.0,3.0555555555555554,40,package7980,true,2,1.1666666666666667,01:00:20,01:06:20,6.0,-71.119396,42.37309199999988,-71.113837,42.37768999999988,697.2612427192129
1277,2022-10-01 03:32:50,true,110,50000.0,3.0555555555555554,40,package3,true,2,1.0,03:30:10,03:32:50,2.6666666666666665,-71.109872,42.36911099999988,-71.11631324605207,42.37241865360796,680.1697271962696
1634,2022-10-01 04:32:20,true,110,50000.0,3.0555555555555554,40,package3993,true,2,1.5,04:29:40,04:32:20,2.6666666666666665,-71.120337,42.389246999999884,-71.12309320793717,42.38225684188844,894.3116133152822
1742,2022-10-01 04:50:20,true,110,50000.0,3.0555555555555554,40,package7983,true,2,1.1666666666666667,04:47:20,04:50:20,3.0,-71.102333,42.36434299999986,-71.10748925917198,42.357586756743466,996.4663731791588
1784,2022-10-01 04:57:20,true,110,50000.0,3.0555555555555554,40,package6,false,0,0.0,nil,04:57:20,297.3333333333333,-71.075326,42.368018999999876,-71.10507469089406,42.36266151562827,0.0
1814,2022-10-01 05:02:20,true,110,50000.0,3.0555555555555554,40,package3996,false,0,0.0,nil,05:02:20,302.3333333333333,-71.116945,42.37270799999988,-71.08187540803797,42.372206568575464,0.0
1884,2022-10-01 05:14:00,true,110,50000.0,3.0555555555555554,40,package7986,true,2,1.0,05:09:10,05:14:00,4.833333333333333,-71.121151,42.37418899999989,-71.1108903,42.35920989999988,1914.2074782694679
1940,2022-10-01 05:23:20,true,110,50000.0,3.0555555555555554,40,package9,true,2,1.3333333333333333,05:21:30,05:23:20,1.8333333333333333,-71.095093,42.37315399999987,-71.09801169746027,42.37073626287468,362.15774610538637
1964,2022-10-01 05:27:20,true,110,50000.0,3.0555555555555554,40,package3999,true,2,2.1666666666666665,05:25:20,05:27:20,2.0,-71.09047,42.36164899999987,-71.0876848536742,42.36321885202476,353.4780973971622
1990,2022-10-01 05:31:40,true,110,50000.0,3.0555555555555554,40,package7989,true,2,1.3333333333333333,05:29:30,05:31:40,2.1666666666666665,-71.095093,42.37315399999987,-71.09937807321928,42.37015937794567,485.5236758664254
2007,2022-10-01 05:34:30,true,110,50000.0,3.0555555555555554,40,package12,true,2,2.1666666666666665,05:32:20,05:34:30,2.1666666666666665,-71.09047,42.36164899999987,-71.08743,42.360622999999876,550.4997670551901
2018,2022-10-01 05:36:20,true,110,50000.0,3.0555555555555554,40,package7992,false,0,0.0,nil,05:36:20,336.3333333333333,-71.095093,42.37315399999987,-71.10712890649259,42.369591906262954,0.0
2020,2022-10-01 05:36:40,true,110,50000.0,3.0555555555555554,40,package4002,true,2,0.8333333333333334,05:35:00,05:36:40,1.6666666666666667,-71.116945,42.37270799999988,-71.11631324605207,42.37241865360796,153.83149903658457
2030,2022-10-01 05:38:20,true,110,50000.0,3.0555555555555554,40,package15,false,0,0.0,nil,05:38:20,338.3333333333333,-71.095093,42.37315399999987,-71.08906396371064,42.368771159593265,0.0
2057,2022-10-01 05:42:50,true,110,50000.0,3.0555555555555554,40,package4005,true,2,2.1666666666666665,05:40:20,05:42:50,2.5,-71.09047,42.36164899999987,-71.082562,42.365951999999865,861.1693753610267
2057,2022-10-01 05:42:50,true,110,50000.0,3.0555555555555554,40,package7995,true,2,2.1666666666666665,05:40:20,05:42:50,2.5,-71.09047,42.36164899999987,-71.082562,42.365951999999865,861.1693753610267
2066,2022-10-01 05:44:20,true,110,50000.0,3.0555555555555554,40,package18,false,0,0.0,nil,05:44:20,344.3333333333333,-71.09047,42.36164899999987,-71.09384525746042,42.35731286087455,0.0
2072,2022-10-01 05:45:20,true,110,50000.0,3.0555555555555554,40,package4008,false,0,0.0,nil,05:45:20,345.3333333333333,-71.095093,42.37315399999987,-71.0961805615228,42.36580942545719,0.0
2102,2022-10-01 05:50:20,true,110,50000.0,3.0555555555555554,40,package7998,false,0,0.0,nil,05:50:20,350.3333333333333,-71.096228,42.36132899999988,-71.09995580788264,42.36284920658887,0.0
2108,2022-10-01 05:51:20,true,110,50000.0,3.0555555555555554,40,package21,false,0,0.0,nil,05:51:20,351.3333333333333,-71.08203500000002,42.36451199999987,-71.0861518,42.36727539999986,0.0
2108,2022-10-01 05:51:20,true,110,50000.0,3.0555555555555554,40,package4011,false,0,0.0,nil,05:51:20,351.3333333333333,-71.07982,42.372245999999876,-71.07753522467306,42.37180641535293,0.0
2126,2022-10-01 05:54:20,true,110,50000.0,3.0555555555555554,40,package4014,false,0,0.0,nil,05:54:20,354.3333333333333,-71.119372,42.38941499999988,-71.13475799999998,42.373949999999866,0.0
2126,2022-10-01 05:54:20,true,110,50000.0,3.0555555555555554,40,package8004,false,0,0.0,nil,05:54:20,354.3333333333333,-71.095093,42.37315399999987,-71.08357027180823,42.36852678416375,0.0
2141,2022-10-01 05:56:50,true,110,50000.0,3.0555555555555554,40,package27,true,2,2.0,05:56:10,05:56:50,0.6666666666666666,-71.08203500000002,42.36451199999987,-71.081379,42.364368999999876,112.71763938579721
2143,2022-10-01 05:57:10,true,110,50000.0,3.0555555555555554,40,package8001,true,2,1.0,05:53:10,05:57:10,4.0,-71.08203500000002,42.36451199999987,-71.097672,42.36956499999988,1459.4136713984774
2144,2022-10-01 05:57:20,true,110,50000.0,3.0555555555555554,40,package24,true,2,2.3333333333333335,05:54:30,05:57:20,2.8333333333333335,-71.09047,42.36164899999987,-71.08403299999998,42.36430499999988,652.5635302008859
2168,2022-10-01 06:01:20,true,110,50000.0,3.0555555555555554,40,package4017,false,0,0.0,nil,06:01:20,361.3333333333333,-71.103734,42.365674999999875,-71.13205575888934,42.381922062201426,0.0
2174,2022-10-01 06:02:20,true,110,50000.0,3.0555555555555554,40,package8007,false,0,0.0,nil,06:02:20,362.3333333333333,-71.11823199999998,42.38838799999988,-71.11244918435035,42.3821615527478,0.0
2192,2022-10-01 06:05:20,true,110,50000.0,3.0555555555555554,40,package4020,true,2,1.0,06:04:10,06:05:20,1.1666666666666667,-71.08259,42.36490999999988,-71.08192419192879,42.36602282408538,221.6367078571368
2228,2022-10-01 06:11:20,true,110,50000.0,3.0555555555555554,40,package4023,false,0,0.0,nil,06:11:20,371.3333333333333,-71.083318,42.37128099999988,-71.08160981849095,42.368220244450875,0.0
2232,2022-10-01 06:12:00,true,110,50000.0,3.0555555555555554,40,package30,true,2,3.1666666666666665,06:05:20,06:12:00,6.666666666666667,-71.08247,42.363322999999895,-71.11301374746243,42.35840397355081,2645.9239785735163
2234,2022-10-01 06:12:20,true,110,50000.0,3.0555555555555554,40,package33,true,2,0.8333333333333334,06:11:00,06:12:20,1.3333333333333333,-71.120423,42.37202699999988,-71.11994,42.37206899999988,142.11281614013194
2252,2022-10-01 06:15:20,true,110,50000.0,3.0555555555555554,40,package8013,false,0,0.0,nil,06:15:20,375.3333333333333,-71.075408,42.37195999999987,-71.104452,42.36563099999987,0.0
2253,2022-10-01 06:15:30,true,110,50000.0,3.0555555555555554,40,package8010,true,2,2.5,06:08:40,06:15:30,6.833333333333333,-71.09047,42.36164899999987,-71.103274,42.354987999999885,1680.7613636125768
2276,2022-10-01 06:19:20,true,110,50000.0,3.0555555555555554,40,package36,false,0,0.0,nil,06:19:20,379.3333333333333,-71.10085699999999,42.36402499999988,-71.099631,42.36357899999989,0.0
2276,2022-10-01 06:19:20,true,110,50000.0,3.0555555555555554,40,package39,false,0,0.0,nil,06:19:20,379.3333333333333,-71.118965,42.373370999999885,-71.0981302081539,42.36959949085267,0.0
2276,2022-10-01 06:19:20,true,110,50000.0,3.0555555555555554,40,package4026,false,0,0.0,nil,06:19:20,379.3333333333333,-71.11823199999998,42.38838799999988,-71.09647904322009,42.366674525000334,0.0
2300,2022-10-01 06:23:20,true,110,50000.0,3.0555555555555554,40,package42,false,0,0.0,nil,06:23:20,383.3333333333333,-71.118965,42.373370999999885,-71.15206778509447,42.37703553560737,0.0
2300,2022-10-01 06:23:20,true,110,50000.0,3.0555555555555554,40,package8019,false,0,0.0,nil,06:23:20,383.3333333333333,-71.118965,42.373370999999885,-71.15363739122618,42.37867488624446,0.0
2314,2022-10-01 06:25:40,true,110,50000.0,3.0555555555555554,40,package8016,true,2,4.333333333333333,06:23:30,06:25:40,2.1666666666666665,-71.07982,42.372245999999876,-71.08106080687463,42.36996724548553,445.1820875300985
2325,2022-10-01 06:27:30,true,110,50000.0,3.0555555555555554,40,package4032,true,2,1.5,06:26:40,06:27:30,0.8333333333333334,-71.077794,42.36981699999988,-71.0773,42.37058199999989,169.22834348966197
2326,2022-10-01 06:27:40,true,110,50000.0,3.0555555555555554,40,package45,true,2,1.0,06:26:10,06:27:40,1.5,-71.118965,42.373370999999885,-71.117438,42.371218999999876,317.9138901440269
2329,2022-10-01 06:28:10,true,110,50000.0,3.0555555555555554,40,package4029,true,2,2.5,06:25:40,06:28:10,2.5,-71.071562,42.367712999999895,-71.07850063191331,42.366242412403096,762.0855850459593
2329,2022-10-01 06:28:10,true,110,50000.0,3.0555555555555554,40,package8022,true,2,2.3333333333333335,06:27:30,06:28:10,0.6666666666666666,-71.1114,42.36962799999989,-71.1131418,42.36995179999989,159.84190852409165
2330,2022-10-01 06:28:20,true,110,50000.0,3.0555555555555554,40,package8025,false,0,0.0,nil,06:28:20,388.3333333333333,-71.118965,42.373370999999885,-71.10275899999998,42.36517799999989,0.0
2336,2022-10-01 06:29:20,true,110,50000.0,3.0555555555555554,40,package48,false,0,0.0,nil,06:29:20,389.3333333333333,-71.103734,42.365674999999875,-71.1207875750093,42.39253323977127,0.0
2339,2022-10-01 06:29:50,true,110,50000.0,3.0555555555555554,40,package4035,true,2,1.5,06:28:40,06:29:50,1.1666666666666667,-71.1114,42.36962799999989,-71.11003869562896,42.37038224387264,245.90679709467656
2342,2022-10-01 06:30:20,true,110,50000.0,3.0555555555555554,40,package4038,false,0,0.0,nil,06:30:20,390.3333333333333,-71.06882399999998,42.36985899999988,-71.07410300000002,42.37171299999988,0.0
2360,2022-10-01 06:33:20,true,110,50000.0,3.0555555555555554,40,package51,false,0,0.0,nil,06:33:20,393.3333333333333,-71.083318,42.37128099999988,-71.11943000000002,42.37239899999986,0.0
2366,2022-10-01 06:34:20,true,110,50000.0,3.0555555555555554,40,package4041,false,0,0.0,nil,06:34:20,394.3333333333333,-71.1114,42.36962799999989,-71.10385713609077,42.37289438187524,0.0
2401,2022-10-01 06:40:10,true,110,50000.0,3.0555555555555554,40,package8031,true,2,2.6666666666666665,06:37:50,06:40:10,2.3333333333333335,-71.087304,42.362206999999884,-71.090546,42.36188899999986,376.8574696483812
2402,2022-10-01 06:40:20,true,110,50000.0,3.0555555555555554,40,package4044,false,0,0.0,nil,06:40:20,400.3333333333333,-71.119949,42.38191999999986,-71.10456900000001,42.36319099999989,0.0
2408,2022-10-01 06:41:20,true,110,50000.0,3.0555555555555554,40,package8028,true,2,3.8333333333333335,06:36:00,06:41:20,5.333333333333333,-71.149096,42.37545099999986,-71.14984064934278,42.37846105462302,568.3909943328716
2414,2022-10-01 06:42:20,true,110,50000.0,3.0555555555555554,40,package57,false,0,0.0,nil,06:42:20,402.3333333333333,-71.075402,42.37193799999988,-71.09635899999998,42.35876399999987,0.0
2414,2022-10-01 06:42:20,true,110,50000.0,3.0555555555555554,40,package8034,false,0,0.0,nil,06:42:20,402.3333333333333,-71.11823199999998,42.38838799999988,-71.082562,42.365951999999865,0.0
2426,2022-10-01 06:44:20,true,110,50000.0,3.0555555555555554,40,package54,true,2,1.3333333333333333,06:38:30,06:44:20,5.833333333333333,-71.07982,42.372245999999876,-71.07877301616251,42.372997396889744,121.2870359177831
2426,2022-10-01 06:44:20,true,110,50000.0,3.0555555555555554,40,package8037,false,0,0.0,nil,06:44:20,404.3333333333333,-71.07826899999998,42.36611799999987,-71.10168943871713,42.37145868750906,0.0
2436,2022-10-01 06:46:00,true,110,50000.0,3.0555555555555554,40,package4047,true,2,1.0,06:44:10,06:46:00,1.8333333333333333,-71.11647099999998,42.37132899999988,-71.11631324605207,42.37241865360796,233.31326418149433
2461,2022-10-01 06:50:10,true,110,50000.0,3.0555555555555554,40,package4050,true,2,1.0,06:49:10,06:50:10,1.0,-71.1114,42.36962799999989,-71.1103950851475,42.3702466054444,218.8554974152061
2474,2022-10-01 06:52:20,true,110,50000.0,3.0555555555555554,40,package4053,false,0,0.0,nil,06:52:20,412.3333333333333,-71.119949,42.38191999999986,-71.08959899999998,42.37237999999988,0.0
2477,2022-10-01 06:52:50,true,110,50000.0,3.0555555555555554,40,package60,true,2,3.8333333333333335,06:51:00,06:52:50,1.8333333333333333,-71.149096,42.37545099999986,-71.15295963572841,42.376343811723736,410.34532825611274
2477,2022-10-01 06:52:50,true,110,50000.0,3.0555555555555554,40,package8040,true,2,2.1666666666666665,06:51:20,06:52:50,1.5,-71.08259,42.36490999999988,-71.077299,42.366418999999865,506.22071884085983
2486,2022-10-01 06:54:20,true,110,50000.0,3.0555555555555554,40,package4056,false,0,0.0,nil,06:54:20,414.3333333333333,-71.11823199999998,42.38838799999988,-71.12352517184414,42.391860802365834,0.0
2495,2022-10-01 06:55:50,true,110,50000.0,3.0555555555555554,40,package63,true,2,3.8333333333333335,06:54:00,06:55:50,1.8333333333333333,-71.09047,42.36164899999987,-71.090546,42.36188899999986,230.00758246745866
2504,2022-10-01 06:57:20,true,110,50000.0,3.0555555555555554,40,package4059,false,0,0.0,nil,06:57:20,417.3333333333333,-71.11823199999998,42.38838799999988,-71.09994421431794,42.36957923614499,0.0
2504,2022-10-01 06:57:20,true,110,50000.0,3.0555555555555554,40,package8049,false,0,0.0,nil,06:57:20,417.3333333333333,-71.119949,42.38191999999986,-71.110752,42.369344999999875,0.0
2505,2022-10-01 06:57:30,true,110,50000.0,3.0555555555555554,40,package66,true,2,2.1666666666666665,06:55:20,06:57:30,2.1666666666666665,-71.103734,42.365674999999875,-71.10141899999998,42.36970699999988,558.7011502018825
2506,2022-10-01 06:57:40,true,110,50000.0,3.0555555555555554,40,package8043,true,2,3.3333333333333335,06:55:30,06:57:40,2.1666666666666665,-71.09047,42.36164899999987,-71.08743,42.360622999999876,550.4997670551901
2510,2022-10-01 06:58:20,true,110,50000.0,3.0555555555555554,40,package72,false,0,0.0,nil,06:58:20,418.3333333333333,-71.10085699999999,42.36402499999988,-71.096228,42.36132899999988,0.0
2522,2022-10-01 07:00:20,true,110,50000.0,3.0555555555555554,40,package75,false,0,0.0,nil,07:00:20,420.3333333333333,-71.09388,42.36278199999988,-71.1004414065042,42.365078310153514,0.0
2522,2022-10-01 07:00:20,true,110,50000.0,3.0555555555555554,40,package8052,false,0,0.0,nil,07:00:20,420.3333333333333,-71.075408,42.37195999999987,-71.12616934126784,42.38638180485225,0.0
2528,2022-10-01 07:01:20,true,110,50000.0,3.0555555555555554,40,package4065,false,0,0.0,nil,07:01:20,421.3333333333333,-71.119949,42.38191999999986,-71.12538466370042,42.39091868234668,0.0
2528,2022-10-01 07:01:20,true,110,50000.0,3.0555555555555554,40,package8046,true,2,4.833333333333333,07:00:00,07:01:20,1.3333333333333333,-71.11823199999998,42.38838799999988,-71.11829200000003,42.389997999999885,332.58469105948893
2528,2022-10-01 07:01:20,true,110,50000.0,3.0555555555555554,40,package8055,false,0,0.0,nil,07:01:20,421.3333333333333,-71.11983000000002,42.38448799999988,-71.1242533263425,42.390835542772585,0.0
2532,2022-10-01 07:02:00,true,110,50000.0,3.0555555555555554,40,package69,true,2,2.6666666666666665,06:58:50,07:02:00,3.1666666666666665,-71.075408,42.37195999999987,-71.081379,42.364368999999876,1040.976547916965
2540,2022-10-01 07:03:20,true,110,50000.0,3.0555555555555554,40,package81,false,0,0.0,nil,07:03:20,423.3333333333333,-71.07982,42.372245999999876,-71.128111,42.38542799999989,0.0
2540,2022-10-01 07:03:20,true,110,50000.0,3.0555555555555554,40,package8058,false,0,0.0,nil,07:03:20,423.3333333333333,-71.105366,42.366068999999875,-71.10854491646249,42.36033465613067,0.0
2543,2022-10-01 07:03:50,true,110,50000.0,3.0555555555555554,40,package78,true,2,0.5,07:01:40,07:03:50,2.1666666666666665,-71.118227,42.390042999999885,-71.11989319338319,42.38672201408617,510.7076672366188
2546,2022-10-01 07:04:20,true,110,50000.0,3.0555555555555554,40,package4074,false,0,0.0,nil,07:04:20,424.3333333333333,-71.11983000000002,42.38448799999988,-71.12620615650636,42.39073079383176,0.0
2551,2022-10-01 07:05:10,true,110,50000.0,3.0555555555555554,40,package4071,true,2,1.0,07:04:10,07:05:10,1.0,-71.111874,42.369724999999875,-71.11053145184587,42.37072942073192,206.2394047088532
2552,2022-10-01 07:05:20,true,110,50000.0,3.0555555555555554,40,package87,false,0,0.0,nil,07:05:20,425.3333333333333,-71.11983000000002,42.38448799999988,-71.12459075067973,42.39165921427135,0.0
2552,2022-10-01 07:05:20,true,110,50000.0,3.0555555555555554,40,package4062,true,2,2.1666666666666665,07:01:20,07:05:20,4.0,-71.09047,42.36164899999987,-71.09384525746042,42.35731286087455,1003.3899103554137
2552,2022-10-01 07:05:20,true,110,50000.0,3.0555555555555554,40,package4077,false,0,0.0,nil,07:05:20,425.3333333333333,-71.11983000000002,42.38448799999988,-71.12459075067973,42.39165921427135,0.0
2552,2022-10-01 07:05:20,true,110,50000.0,3.0555555555555554,40,package8064,false,0,0.0,nil,07:05:20,425.3333333333333,-71.119577,42.386093999999886,-71.12622474387281,42.39202508903434,0.0
2558,2022-10-01 07:06:20,true,110,50000.0,3.0555555555555554,40,package90,false,0,0.0,nil,07:06:20,426.3333333333333,-71.105366,42.366068999999875,-71.11086504128659,42.36041364532208,0.0
2558,2022-10-01 07:06:20,true,110,50000.0,3.0555555555555554,40,package8067,false,0,0.0,nil,07:06:20,426.3333333333333,-71.11983000000002,42.38448799999988,-71.10046657774024,42.36435779487629,0.0
2562,2022-10-01 07:07:00,true,110,50000.0,3.0555555555555554,40,package4068,true,2,1.5,07:04:40,07:07:00,2.3333333333333335,-71.117852,42.37248399999987,-71.114152,42.37402899999987,503.34651952126256
2565,2022-10-01 07:07:30,true,110,50000.0,3.0555555555555554,40,package8061,true,2,2.1666666666666665,07:05:20,07:07:30,2.1666666666666665,-71.117852,42.37248399999987,-71.123497,42.37852899999989,849.6301761196696
2570,2022-10-01 07:08:20,true,110,50000.0,3.0555555555555554,40,package8070,false,0,0.0,nil,07:08:20,428.3333333333333,-71.09474399999998,42.35906599999986,-71.09917866234348,42.36594338428711,0.0
2571,2022-10-01 07:08:30,true,110,50000.0,3.0555555555555554,40,package84,true,2,2.1666666666666665,07:06:20,07:08:30,2.1666666666666665,-71.09047,42.36164899999987,-71.08743,42.360622999999876,550.4997670551901
2576,2022-10-01 07:09:20,true,110,50000.0,3.0555555555555554,40,package4083,false,0,0.0,nil,07:09:20,429.3333333333333,-71.090294,42.36795799999989,-71.08969194188423,42.370920749687784,0.0
2582,2022-10-01 07:10:20,true,110,50000.0,3.0555555555555554,40,package96,false,0,0.0,nil,07:10:20,430.3333333333333,-71.075408,42.37195999999987,-71.10667360731244,42.366770319991865,0.0
2594,2022-10-01 07:12:20,true,110,50000.0,3.0555555555555554,40,package99,false,0,0.0,nil,07:12:20,432.3333333333333,-71.09388,42.36278199999988,-71.1005865833299,42.364292623799905,0.0
2594,2022-10-01 07:12:20,true,110,50000.0,3.0555555555555554,40,package4089,false,0,0.0,nil,07:12:20,432.3333333333333,-71.09388,42.36278199999988,-71.07327511953629,42.36991780876925,0.0
2594,2022-10-01 07:12:20,true,110,50000.0,3.0555555555555554,40,package8076,false,0,0.0,nil,07:12:20,432.3333333333333,-71.10427299999998,42.35774499999989,-71.1334448878442,42.40176833110228,0.0
2595,2022-10-01 07:12:30,true,110,50000.0,3.0555555555555554,40,package4080,true,2,3.0,07:11:10,07:12:30,1.3333333333333333,-71.120631,42.371776999999874,-71.118256,42.372006999999876,252.35881750366133
2600,2022-10-01 07:13:20,true,110,50000.0,3.0555555555555554,40,package102,false,0,0.0,nil,07:13:20,433.3333333333333,-71.117852,42.37248399999987,-71.13445477146851,42.38375114642681,0.0
2600,2022-10-01 07:13:20,true,110,50000.0,3.0555555555555554,40,package8079,false,0,0.0,nil,07:13:20,433.3333333333333,-71.099827,42.37339999999987,-71.106431,42.35723299999988,0.0
2612,2022-10-01 07:15:20,true,110,50000.0,3.0555555555555554,40,package4092,false,0,0.0,nil,07:15:20,435.3333333333333,-71.096565,42.360788999999876,-71.119745,42.38939399999989,0.0
2614,2022-10-01 07:15:40,true,110,50000.0,3.0555555555555554,40,package4086,true,2,2.3333333333333335,07:13:30,07:15:40,2.1666666666666665,-71.09047,42.36164899999987,-71.08743,42.360622999999876,550.4997670551901
2616,2022-10-01 07:16:00,true,110,50000.0,3.0555555555555554,40,package8073,true,2,3.5,07:13:40,07:16:00,2.3333333333333335,-71.10427299999998,42.35774499999989,-71.10963105506094,42.35793571809183,578.017148055198
2617,2022-10-01 07:16:10,true,110,50000.0,3.0555555555555554,40,package93,true,2,2.1666666666666665,07:11:20,07:16:10,4.833333333333333,-71.09047,42.36164899999987,-71.10823351327,42.35894005041445,1782.9156680544438
