Cycle,Time,Traditional Scenario,Num Autonomous Bikes,Autonomous Bikes Battery Life,AB PickUp Speed,Num Cars,Agent,Trip Served,Mode,Wait Time (min),Departure Time,Arrival Time,Duration (min),Origin [lat],Origin [lon],Destination [lat],Destination [lon],Distance (m)
2119,2022-10-01 05:53:10,true,110,50000.0,3.0555555555555554,40,package4011,true,2,1.0,05:52:10,05:53:10,1.0,-71.07982,42.372245999999876,-71.07753522467306,42.37180641535293,218.04969371991876
2126,2022-10-01 05:54:20,true,110,50000.0,3.0555555555555554,40,package21,true,2,0.8333333333333334,05:52:00,05:54:20,2.3333333333333335,-71.08203500000002,42.36451199999987,-71.0861518,42.36727539999986,555.4368271337497
2126,2022-10-01 05:54:20,true,110,50000.0,3.0555555555555554,40,package4014,false,0,0.0,nil,05:54:20,354.3333333333333,-71.119372,42.38941499999988,-71.13475799999998,42.373949999999866,0.0
2136,2022-10-01 05:56:00,true,110,50000.0,3.0555555555555554,40,package27,true,2,1.1666666666666667,05:55:20,05:56:00,0.6666666666666666,-71.08203500000002,42.36451199999987,-71.081379,42.364368999999876,112.71763938579721
2153,2022-10-01 05:58:50,true,110,50000.0,3.0555555555555554,40,package8004,true,2,1.3333333333333333,05:55:30,05:58:50,3.3333333333333335,-71.095093,42.37315399999987,-71.08357027180823,42.36852678416375,1118.3212689077818
2168,2022-10-01 06:01:20,true,110,50000.0,3.0555555555555554,40,package4017,false,0,0.0,nil,06:01:20,361.3333333333333,-71.103734,42.365674999999875,-71.13205575888934,42.381922062201426,0.0
2174,2022-10-01 06:02:20,true,110,50000.0,3.0555555555555554,40,package30,false,0,0.0,nil,06:02:20,362.3333333333333,-71.08247,42.363322999999895,-71.11301374746243,42.35840397355081,0.0
2174,2022-10-01 06:02:20,true,110,50000.0,3.0555555555555554,40,package8007,false,0,0.0,nil,06:02:20,362.3333333333333,-71.11823199999998,42.38838799999988,-71.11244918435035,42.3821615527478,0.0
2192,2022-10-01 06:05:20,true,110,50000.0,3.0555555555555554,40,package4020,true,2,1.0,06:04:10,06:05:20,1.1666666666666667,-71.08259,42.36490999999988,-71.08192419192879,42.36602282408538,221.6367078571368
2234,2022-10-01 06:12:20,true,110,50000.0,3.0555555555555554,40,package33,true,2,0.8333333333333334,06:11:00,06:12:20,1.3333333333333333,-71.120423,42.37202699999988,-71.11994,42.37206899999988,142.11281614013194
2245,2022-10-01 06:14:10,true,110,50000.0,3.0555555555555554,40,package4023,true,2,1.0,06:12:10,06:14:10,2.0,-71.083318,42.37128099999988,-71.08160981849095,42.368220244450875,413.72750148148344
2251,2022-10-01 06:15:10,true,110,50000.0,3.0555555555555554,40,package8010,true,2,2.1666666666666665,06:08:20,06:15:10,6.833333333333333,-71.09047,42.36164899999987,-71.103274,42.354987999999885,1680.7613636125768
2252,2022-10-01 06:15:20,true,110,50000.0,3.0555555555555554,40,package8013,false,0,0.0,nil,06:15:20,375.3333333333333,-71.075408,42.37195999999987,-71.104452,42.36563099999987,0.0
2276,2022-10-01 06:19:20,true,110,50000.0,3.0555555555555554,40,package39,false,0,0.0,nil,06:19:20,379.3333333333333,-71.118965,42.373370999999885,-71.0981302081539,42.36959949085267,0.0
2276,2022-10-01 06:19:20,true,110,50000.0,3.0555555555555554,40,package4026,false,0,0.0,nil,06:19:20,379.3333333333333,-71.11823199999998,42.38838799999988,-71.09647904322009,42.366674525000334,0.0
2293,2022-10-01 06:22:10,true,110,50000.0,3.0555555555555554,40,package8016,true,2,0.8333333333333334,06:20:00,06:22:10,2.1666666666666665,-71.07982,42.372245999999876,-71.08106080687463,42.36996724548553,445.1820875300985
2294,2022-10-01 06:22:20,true,110,50000.0,3.0555555555555554,40,package36,true,2,1.8333333333333333,06:21:00,06:22:20,1.3333333333333333,-71.10085699999999,42.36402499999988,-71.099631,42.36357899999989,176.19407671315858
2300,2022-10-01 06:23:20,true,110,50000.0,3.0555555555555554,40,package42,false,0,0.0,nil,06:23:20,383.3333333333333,-71.118965,42.373370999999885,-71.15206778509447,42.37703553560737,0.0
2300,2022-10-01 06:23:20,true,110,50000.0,3.0555555555555554,40,package8019,false,0,0.0,nil,06:23:20,383.3333333333333,-71.118965,42.373370999999885,-71.15363739122618,42.37867488624446,0.0
2312,2022-10-01 06:25:20,true,110,50000.0,3.0555555555555554,40,package45,false,0,0.0,nil,06:25:20,385.3333333333333,-71.118965,42.373370999999885,-71.117438,42.371218999999876,0.0
2322,2022-10-01 06:27:00,true,110,50000.0,3.0555555555555554,40,package8022,true,2,1.1666666666666667,06:26:20,06:27:00,0.6666666666666666,-71.1114,42.36962799999989,-71.1131418,42.36995179999989,159.84190852409165
2325,2022-10-01 06:27:30,true,110,50000.0,3.0555555555555554,40,package4032,true,2,1.5,06:26:40,06:27:30,0.8333333333333334,-71.077794,42.36981699999988,-71.0773,42.37058199999989,169.22834348966197
2329,2022-10-01 06:28:10,true,110,50000.0,3.0555555555555554,40,package4029,true,2,2.5,06:25:40,06:28:10,2.5,-71.071562,42.367712999999895,-71.07850063191331,42.366242412403096,762.0855850459593
2330,2022-10-01 06:28:20,true,110,50000.0,3.0555555555555554,40,package8025,false,0,0.0,nil,06:28:20,388.3333333333333,-71.118965,42.373370999999885,-71.10275899999998,42.36517799999989,0.0
2336,2022-10-01 06:29:20,true,110,50000.0,3.0555555555555554,40,package48,false,0,0.0,nil,06:29:20,389.3333333333333,-71.103734,42.365674999999875,-71.1207875750093,42.39253323977127,0.0
2336,2022-10-01 06:29:20,true,110,50000.0,3.0555555555555554,40,package4035,true,2,1.0,06:28:10,06:29:20,1.1666666666666667,-71.1114,42.36962799999989,-71.11003869562896,42.37038224387264,245.90679709467656
2354,2022-10-01 06:32:20,true,110,50000.0,3.0555555555555554,40,package8028,false,0,0.0,nil,06:32:20,392.3333333333333,-71.149096,42.37545099999986,-71.14984064934278,42.37846105462302,0.0
2360,2022-10-01 06:33:20,true,110,50000.0,3.0555555555555554,40,package51,false,0,0.0,nil,06:33:20,393.3333333333333,-71.083318,42.37128099999988,-71.11943000000002,42.37239899999986,0.0
2366,2022-10-01 06:34:20,true,110,50000.0,3.0555555555555554,40,package4041,false,0,0.0,nil,06:34:20,394.3333333333333,-71.1114,42.36962799999989,-71.10385713609077,42.37289438187524,0.0
2391,2022-10-01 06:38:30,true,110,50000.0,3.0555555555555554,40,package8031,true,2,1.0,06:36:10,06:38:30,2.3333333333333335,-71.087304,42.362206999999884,-71.090546,42.36188899999986,376.8574696483812
2402,2022-10-01 06:40:20,true,110,50000.0,3.0555555555555554,40,package4044,false,0,0.0,nil,06:40:20,400.3333333333333,-71.119949,42.38191999999986,-71.10456900000001,42.36319099999989,0.0
