Cycle,Time,Traditional Scenario,Num Autonomous Bikes,Autonomous Bikes Battery Life,AB PickUp Speed,Num Cars,Agent,Trip Served,Mode,Wait Time (min),Departure Time,Arrival Time,Duration (min),Origin [lat],Origin [lon],Destination [lat],Destination [lon],Distance (m)
128,2022-10-01 00:21:20,true,110,50000.0,3.0555555555555554,40,package0,false,0,0.0,nil,00:21:20,21.333333333333332,-71.08688499986712,42.37212699972507,-71.12392810578444,42.38829299401005,0.0
356,2022-10-01 00:59:20,true,110,50000.0,3.0555555555555554,40,package3990,false,0,0.0,nil,00:59:20,59.333333333333336,-71.11851899987155,42.37028199973816,-71.1199399998718,42.372068999738694,0.0
356,2022-10-01 00:59:20,true,110,50000.0,3.0555555555555554,40,package7980,false,0,0.0,nil,00:59:20,59.333333333333336,-71.11939599987174,42.37309199973846,-71.11383699987104,42.377689999736155,0.0
1256,2022-10-01 03:29:20,true,110,50000.0,3.0555555555555554,40,package3,false,0,0.0,nil,03:29:20,209.33333333333334,-71.10987199987034,42.36911099973463,-71.11631324592337,42.3724186533453,0.0
1610,2022-10-01 04:28:20,true,110,50000.0,3.0555555555555554,40,package3993,false,0,0.0,nil,04:28:20,268.3333333333333,-71.12033699987214,42.38924699973866,-71.12309320780959,42.38225684162842,0.0
1718,2022-10-01 04:46:20,true,110,50000.0,3.0555555555555554,40,package7983,false,0,0.0,nil,04:46:20,286.3333333333333,-71.1023329998692,42.36434299973162,-71.10748925904183,42.3575867564774,0.0
1784,2022-10-01 04:57:20,true,110,50000.0,3.0555555555555554,40,package6,false,0,0.0,nil,04:57:20,297.3333333333333,-71.07532599986543,42.368018999720235,-71.10507469076363,42.362661515361154,0.0
1814,2022-10-01 05:02:20,true,110,50000.0,3.0555555555555554,40,package3996,false,0,0.0,nil,05:02:20,302.3333333333333,-71.11694499987141,42.37270799973749,-71.08187540790438,42.372206568298594,0.0
1850,2022-10-01 05:08:20,true,110,50000.0,3.0555555555555554,40,package7986,false,0,0.0,nil,05:08:20,308.3333333333333,-71.12115099987201,42.37418899973918,-71.11089029987033,42.359209899735184,0.0
1922,2022-10-01 05:20:20,true,110,50000.0,3.0555555555555554,40,package9,false,0,0.0,nil,05:20:20,320.3333333333333,-71.09509299986831,42.3731539997285,-71.09801169732896,42.37073626260453,0.0
1940,2022-10-01 05:23:20,true,110,50000.0,3.0555555555555554,40,package3999,false,0,0.0,nil,05:23:20,323.3333333333333,-71.09046999986747,42.36164899972673,-71.0876848535413,42.36321885175042,0.0
1970,2022-10-01 05:28:20,true,110,50000.0,3.0555555555555554,40,package7989,false,0,0.0,nil,05:28:20,328.3333333333333,-71.09509299986831,42.3731539997285,-71.09937807308816,42.37015937767612,0.0
