Cycle,Time,Traditional Scenario,Num Autonomous Bikes,Autonomous Bikes Battery Life,AB PickUp Speed,Num Cars,Agent,Event,Mode,Message,Start Time,End Time,Duration (min),Distance (m)
1609,2022-10-01 04:28:10,true,110,50000.0,3.0555555555555554,40,package3993,END: requestingDeliveryMode,0,nil,04:28:10,04:28:10,0.0,0.0
1610,2022-10-01 04:28:20,true,110,50000.0,3.0555555555555554,40,package3993,START: firstmile,nil
1616,2022-10-01 04:29:20,true,110,50000.0,3.0555555555555554,40,package3993,END: firstmile,0,nil,04:28:20,04:29:20,1.0,31.549655365944563
1617,2022-10-01 04:29:30,true,110,50000.0,3.0555555555555554,40,package3993,START: awaiting_car,awaiting car(24)
1617,2022-10-01 04:29:30,true,110,50000.0,3.0555555555555554,40,package3993,END: awaiting_car,0,nil,04:29:30,04:29:30,0.0,0.0
1618,2022-10-01 04:29:40,true,110,50000.0,3.0555555555555554,40,package3993,START: delivering_car,delivering car(24)
1630,2022-10-01 04:31:40,true,110,50000.0,3.0555555555555554,40,package3993,END: delivering_car,2,nil,04:29:40,04:31:40,2.0,828.5029459780757
1631,2022-10-01 04:31:50,true,110,50000.0,3.0555555555555554,40,package3993,START: lastmile,nil
1633,2022-10-01 04:32:10,true,110,50000.0,3.0555555555555554,40,package3993,END: lastmile,2,nil,04:31:50,04:32:10,0.3333333333333333,34.25901197126195
1634,2022-10-01 04:32:20,true,110,50000.0,3.0555555555555554,40,package3993,START: delivered,nil
1716,2022-10-01 04:46:00,true,110,50000.0,3.0555555555555554,40,package7983,END: generated,0,nil,00:00:00,04:46:00,286.0,0.0
1717,2022-10-01 04:46:10,true,110,50000.0,3.0555555555555554,40,package7983,START: requestingDeliveryMode,nil
1717,2022-10-01 04:46:10,true,110,50000.0,3.0555555555555554,40,package7983,END: requestingDeliveryMode,0,nil,04:46:10,04:46:10,0.0,0.0
1718,2022-10-01 04:46:20,true,110,50000.0,3.0555555555555554,40,package7983,START: unserved,nil
1782,2022-10-01 04:57:00,true,110,50000.0,3.0555555555555554,40,package6,END: generated,0,nil,00:00:00,04:57:00,297.0,0.0
1783,2022-10-01 04:57:10,true,110,50000.0,3.0555555555555554,40,package6,START: requestingDeliveryMode,nil
1783,2022-10-01 04:57:10,true,110,50000.0,3.0555555555555554,40,package6,END: requestingDeliveryMode,0,nil,04:57:10,04:57:10,0.0,0.0
1784,2022-10-01 04:57:20,true,110,50000.0,3.0555555555555554,40,package6,START: unserved,nil
