Cycle,Time,Traditional Scenario,Num Autonomous Bikes,Autonomous Bikes Battery Life,AB PickUp Speed,Num Cars,Agent,Trip Served,Mode,Wait Time (min),Departure Time,Arrival Time,Duration (min),Origin [lat],Origin [lon],Destination [lat],Destination [lon],Distance (m)
2678,2022-10-01 07:26:20,true,40,package4119,false,0,0.0,nil,07:26:20,446.3333333333333,-71.10242299986923,42.36502799973162,-71.1131417998708,42.36995179973598,0.0
2678,2022-10-01 07:26:20,true,40,package8106,false,0,0.0,nil,07:26:20,446.3333333333333,-71.10242299986923,42.36502799973162,-71.09987039986883,42.36283689973061,0.0
2678,2022-10-01 07:26:20,true,40,package8109,false,0,0.0,nil,07:26:20,446.3333333333333,-71.10242299986923,42.36502799973162,-71.11081269246256,42.37270329507817,0.0
2684,2022-10-01 07:27:20,true,40,package135,false,0,0.0,nil,07:27:20,447.3333333333333,-71.09656499986832,42.36078899972927,-71.10705773239334,42.357603898408854,0.0
2684,2022-10-01 07:27:20,true,40,package138,false,0,0.0,nil,07:27:20,447.3333333333333,-71.07540799986546,42.37195999972023,-71.0741029998653,42.371712999719676,0.0
2684,2022-10-01 07:27:20,true,40,package4122,false,0,0.0,nil,07:27:20,447.3333333333333,-71.12042299987188,42.372026999738885,-71.10817530367993,42.36852761079921,0.0
2684,2022-10-01 07:27:20,true,40,package4125,false,0,0.0,nil,07:27:20,447.3333333333333,-71.09656499986832,42.36078899972927,-71.10904105906022,42.356097478247946,0.0
2684,2022-10-01 07:27:20,true,40,package8112,false,0,0.0,nil,07:27:20,447.3333333333333,-71.09387999986798,42.362781999728135,-71.07729999986572,42.37058199972106,0.0
2684,2022-10-01 07:27:20,true,40,package8115,false,0,0.0,nil,07:27:20,447.3333333333333,-71.11994899987197,42.381919999738585,-71.10971221353928,42.3750790677345,0.0
2696,2022-10-01 07:29:20,true,40,package4128,false,0,0.0,nil,07:29:20,449.3333333333333,-71.10242299986923,42.36502799973162,-71.10697907216596,42.35697656138066,0.0
2696,2022-10-01 07:29:20,true,40,package8118,false,0,0.0,nil,07:29:20,449.3333333333333,-71.10242299986923,42.36502799973162,-71.10592638258682,42.35757767075064,0.0
