Cycle,Time,Traditional Scenario,Num Autonomous Bikes,Autonomous Bikes Battery Life,AB PickUp Speed,Num Cars,Agent,Trip Served,Mode,Wait Time (min),Departure Time,Arrival Time,Duration (min),Origin [lat],Origin [lon],Destination [lat],Destination [lon],Distance (m)
2177,2022-10-01 06:02:50,false,110,50000.0,3.0555555555555554,40,package24,true,1,5.166666666666667,05:57:20,06:02:50,5.5,-71.09047,42.36164899999987,-71.08403299999998,42.36430499999988,652.5635302008859
2183,2022-10-01 06:03:50,false,110,50000.0,3.0555555555555554,40,package8001,true,1,1.8333333333333333,05:54:00,06:03:50,9.833333333333334,-71.08203500000002,42.36451199999987,-71.097672,42.36956499999988,1459.4136713984774
2192,2022-10-01 06:05:20,false,110,50000.0,3.0555555555555554,40,package8004,true,1,3.1666666666666665,05:57:20,06:05:20,8.0,-71.095093,42.37315399999987,-71.08357027180823,42.36852678416375,1118.3212689077818
2201,2022-10-01 06:06:50,false,110,50000.0,3.0555555555555554,40,package4020,true,1,1.8333333333333333,06:05:00,06:06:50,1.8333333333333333,-71.08259,42.36490999999988,-71.08192419192879,42.36602282408538,221.6367078571368
2242,2022-10-01 06:13:40,false,110,50000.0,3.0555555555555554,40,package33,true,1,2.0,06:12:10,06:13:40,1.5,-71.120423,42.37202699999988,-71.11994,42.37206899999988,142.11281614013194
2254,2022-10-01 06:15:40,false,110,50000.0,3.0555555555555554,40,package8007,true,1,5.833333333333333,06:08:00,06:15:40,7.666666666666667,-71.11823199999998,42.38838799999988,-71.11244918435035,42.3821615527478,949.6496390918104
2256,2022-10-01 06:16:00,false,110,50000.0,3.0555555555555554,40,package4023,true,1,1.3333333333333333,06:12:30,06:16:00,3.5,-71.083318,42.37128099999988,-71.08160981849095,42.368220244450875,413.72750148148344
2291,2022-10-01 06:21:50,false,110,50000.0,3.0555555555555554,40,package4014,true,1,3.3333333333333335,05:57:30,06:21:50,24.333333333333332,-71.119372,42.38941499999988,-71.13475799999998,42.373949999999866,2141.616676329249
2291,2022-10-01 06:21:50,false,110,50000.0,3.0555555555555554,40,package4017,true,1,3.0,06:04:10,06:21:50,17.666666666666668,-71.103734,42.365674999999875,-71.13205575888934,42.381922062201426,2978.056269605179
2294,2022-10-01 06:22:20,false,110,50000.0,3.0555555555555554,40,package30,true,1,3.1666666666666665,06:05:20,06:22:20,17.0,-71.08247,42.363322999999895,-71.11301374746243,42.35840397355081,2645.9239785735163
2297,2022-10-01 06:22:50,false,110,50000.0,3.0555555555555554,40,package36,true,1,1.5,06:20:40,06:22:50,2.1666666666666665,-71.10085699999999,42.36402499999988,-71.099631,42.36357899999989,176.19407671315858
2299,2022-10-01 06:23:10,false,110,50000.0,3.0555555555555554,40,package8010,true,1,5.166666666666667,06:11:20,06:23:10,11.833333333333334,-71.09047,42.36164899999987,-71.103274,42.354987999999885,1680.7613636125768
2320,2022-10-01 06:26:40,false,110,50000.0,3.0555555555555554,40,package8016,true,1,3.8333333333333335,06:23:00,06:26:40,3.6666666666666665,-71.07982,42.372245999999876,-71.08106080687463,42.36996724548553,445.1820875300985
